0    00000000101000000000001010010011	
4    00000000000000000000000000010011	
8    00000000010100000010000110100011	
12   00000000000000000000000000010011	
16   00000000000000000000000000010011	
20   00000000001100000010001100000011	
24   00000000000000000000000000010011	
28   00000000000000000000000000010011	
32   00000000000000000000000000010011	
36   11111111111100110000001100010011
40   00000000000000000000000000010011
44   00000000001100000010001100000011
48   00000000000000000000000000010011
52   00000000000000000000000000010011
56   00000000000000000000000000010011
60   11111111111100110000001100010011
64   00000000000000000000000000010011
68   11111111111100110000001100010011
72   00000000000000000000000000010011
76   00000000011000110010011110100011
